MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,EloDifference,Form3Home,Form3Away,Form3Difference,Form5Home,Form5Away,Form5Difference,NormProbHome,NormProbDraw,NormProbAway,FTResult
2002-08-17,Blackburn,Sunderland,1672.26,1635.3,36.960000000000036,6.0,2.0,4.0,10.0,2.0,8.0,0.517639658793713,0.27554357221942255,0.2068167689868645,D
2002-08-17,Charlton,Chelsea,1647.51,1774.38,-126.87000000000012,2.0,3.0,-1.0,3.0,7.0,-4.0,0.3190539937527889,0.2748772869254797,0.40606871932173133,A
2002-08-17,Everton,Tottenham,1632.1,1672.08,-39.98000000000002,3.0,4.0,-1.0,4.0,5.0,-1.0,0.39832869080779937,0.2757660167130919,0.3259052924791086,D
2002-08-17,Fulham,Bolton,1635.78,1597.3,38.48000000000002,4.0,0.0,4.0,8.0,4.0,4.0,0.517639658793713,0.27554357221942255,0.2068167689868645,H
2002-08-17,Leeds,Man City,1779.45,1652.75,126.70000000000005,6.0,9.0,-3.0,12.0,15.0,-3.0,0.5369739936124661,0.26374899098024074,0.19927701540729298,H
2002-08-17,Man United,West Brom,1883.32,1585.39,297.92999999999984,4.0,7.0,-3.0,10.0,13.0,-3.0,0.746268656716418,0.17910447761194032,0.07462686567164178,H
2002-08-17,Southampton,Middlesbrough,1670.28,1652.47,17.809999999999945,3.0,0.0,3.0,7.0,3.0,4.0,0.39832869080779937,0.2757660167130919,0.3259052924791086,D
2002-08-18,Arsenal,Birmingham,1881.82,1558.75,323.06999999999994,9.0,7.0,2.0,15.0,9.0,6.0,0.7320644216691069,0.17862371888726208,0.08931185944363104,H
2002-08-18,Aston Villa,Liverpool,1684.47,1872.29,-187.81999999999994,7.0,6.0,1.0,7.0,12.0,-5.0,0.29836065573770487,0.2754098360655738,0.4262295081967213,A
2002-08-19,Newcastle,West Ham,1764.18,1677.84,86.34000000000015,4.0,3.0,1.0,10.0,7.0,3.0,0.5723380160989195,0.264285495669207,0.16337648823187342,H
2002-08-23,Chelsea,Man United,1774.38,1883.32,-108.93999999999983,6.0,4.0,2.0,7.0,10.0,-3.0,0.3259052924791086,0.2757660167130919,0.39832869080779937,D
2002-08-24,Birmingham,Blackburn,1558.75,1672.26,-113.50999999999999,4.0,4.0,0.0,8.0,8.0,0.0,0.3416564235534781,0.28079887310801477,0.37754470333850726,A
2002-08-24,Bolton,Charlton,1597.3,1647.51,-50.210000000000036,0.0,2.0,-2.0,1.0,3.0,-2.0,0.4262295081967213,0.2754098360655738,0.29836065573770487,A
2002-08-24,Liverpool,Southampton,1872.29,1670.28,202.01,9.0,4.0,5.0,12.0,5.0,7.0,0.6736308026111361,0.20691200172582241,0.11945719566304147,H
2002-08-24,Man City,Newcastle,1652.75,1764.18,-111.43000000000006,6.0,6.0,0.0,12.0,10.0,2.0,0.3595505617977528,0.28089887640449435,0.3595505617977528,H
2002-08-24,Middlesbrough,Fulham,1652.47,1635.78,16.690000000000055,1.0,4.0,-3.0,1.0,10.0,-9.0,0.4482758620689655,0.27586206896551724,0.27586206896551724,D
2002-08-24,Sunderland,Everton,1635.3,1632.1,3.2000000000000455,3.0,1.0,2.0,3.0,5.0,-2.0,0.4262295081967213,0.29836065573770487,0.2754098360655738,A
2002-08-24,Tottenham,Aston Villa,1672.08,1684.47,-12.3900000000001,4.0,6.0,-2.0,6.0,7.0,-1.0,0.48754875487548754,0.27452745274527457,0.23792379237923794,H
2002-08-24,West Brom,Leeds,1585.39,1779.45,-194.05999999999995,6.0,9.0,-3.0,10.0,12.0,-2.0,0.23792379237923794,0.27452745274527457,0.48754875487548754,A
2002-08-24,West Ham,Arsenal,1677.84,1881.82,-203.98000000000002,3.0,9.0,-6.0,6.0,15.0,-9.0,0.22446709916589433,0.25653382761816496,0.5189990732159407,D
2002-08-27,Arsenal,West Brom,1881.82,1585.39,296.42999999999984,7.0,3.0,4.0,13.0,7.0,6.0,0.7676203768318214,0.16329378925331473,0.06908583391486392,H
2002-08-27,Charlton,Tottenham,1647.51,1672.08,-24.569999999999936,4.0,4.0,0.0,5.0,8.0,-3.0,0.37410071942446044,0.2805755395683453,0.3453237410071942,A
2002-08-28,Aston Villa,Man City,1684.47,1652.75,31.720000000000027,3.0,6.0,-3.0,7.0,12.0,-5.0,0.40606871932173133,0.2748772869254797,0.3190539937527889,H
2002-08-28,Blackburn,Liverpool,1672.26,1872.29,-200.02999999999997,7.0,9.0,-2.0,10.0,12.0,-2.0,0.29836065573770487,0.2754098360655738,0.4262295081967213,D
