MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,EloDifference,Form3Home,Form3Away,Form3Difference,Form5Home,Form5Away,Form5Difference,OddHome,OddDraw,OddAway,ImpliedProbHome,ImpliedProbDraw,ImpliedProbAway,FTResult
2002-08-17,Blackburn,Sunderland,1672.26,1635.3,36.960000000000036,6.0,2.0,4.0,10.0,2.0,8.0,1.73,3.25,4.33,0.5780346820809249,0.3076923076923077,0.23094688221709006,D
2002-08-17,Charlton,Chelsea,1647.51,1774.38,-126.87000000000012,2.0,3.0,-1.0,3.0,7.0,-4.0,2.8,3.25,2.2,0.35714285714285715,0.3076923076923077,0.45454545454545453,A
2002-08-17,Everton,Tottenham,1632.1,1672.08,-39.98000000000002,3.0,4.0,-1.0,4.0,5.0,-1.0,2.25,3.25,2.75,0.4444444444444444,0.3076923076923077,0.36363636363636365,D
2002-08-17,Fulham,Bolton,1635.78,1597.3,38.48000000000002,4.0,0.0,4.0,8.0,4.0,4.0,1.73,3.25,4.33,0.5780346820809249,0.3076923076923077,0.23094688221709006,H
2002-08-17,Leeds,Man City,1779.45,1652.75,126.70000000000005,6.0,9.0,-3.0,12.0,15.0,-3.0,1.67,3.4,4.5,0.5988023952095809,0.29411764705882354,0.2222222222222222,H
2002-08-17,Man United,West Brom,1883.32,1585.39,297.92999999999984,4.0,7.0,-3.0,10.0,13.0,-3.0,1.2,5.0,12.0,0.8333333333333334,0.2,0.08333333333333333,H
2002-08-17,Southampton,Middlesbrough,1670.28,1652.47,17.809999999999945,3.0,0.0,3.0,7.0,3.0,4.0,2.25,3.25,2.75,0.4444444444444444,0.3076923076923077,0.36363636363636365,D
2002-08-18,Arsenal,Birmingham,1881.82,1558.75,323.06999999999994,9.0,7.0,2.0,15.0,9.0,6.0,1.22,5.0,10.0,0.819672131147541,0.2,0.1,H
2002-08-18,Aston Villa,Liverpool,1684.47,1872.29,-187.81999999999994,7.0,6.0,1.0,7.0,12.0,-5.0,3.0,3.25,2.1,0.3333333333333333,0.3076923076923077,0.47619047619047616,A
2002-08-19,Newcastle,West Ham,1764.18,1677.84,86.34000000000015,4.0,3.0,1.0,10.0,7.0,3.0,1.57,3.4,5.5,0.6369426751592356,0.29411764705882354,0.18181818181818182,H
2002-08-23,Chelsea,Man United,1774.38,1883.32,-108.93999999999983,6.0,4.0,2.0,7.0,10.0,-3.0,2.75,3.25,2.25,0.36363636363636365,0.3076923076923077,0.4444444444444444,D
2002-08-24,Birmingham,Blackburn,1558.75,1672.26,-113.50999999999999,4.0,4.0,0.0,8.0,8.0,0.0,2.63,3.2,2.38,0.3802281368821293,0.3125,0.42016806722689076,A
2002-08-24,Bolton,Charlton,1597.3,1647.51,-50.210000000000036,0.0,2.0,-2.0,1.0,3.0,-2.0,2.1,3.25,3.0,0.47619047619047616,0.3076923076923077,0.3333333333333333,A
2002-08-24,Liverpool,Southampton,1872.29,1670.28,202.01,9.0,4.0,5.0,12.0,5.0,7.0,1.33,4.33,7.5,0.7518796992481203,0.23094688221709006,0.13333333333333333,H
2002-08-24,Man City,Newcastle,1652.75,1764.18,-111.43000000000006,6.0,6.0,0.0,12.0,10.0,2.0,2.5,3.2,2.5,0.4,0.3125,0.4,H
2002-08-24,Middlesbrough,Fulham,1652.47,1635.78,16.690000000000055,1.0,4.0,-3.0,1.0,10.0,-9.0,2.0,3.25,3.25,0.5,0.3076923076923077,0.3076923076923077,D
2002-08-24,Sunderland,Everton,1635.3,1632.1,3.2000000000000455,3.0,1.0,2.0,3.0,5.0,-2.0,2.1,3.0,3.25,0.47619047619047616,0.3333333333333333,0.3076923076923077,A
2002-08-24,Tottenham,Aston Villa,1672.08,1684.47,-12.3900000000001,4.0,6.0,-2.0,6.0,7.0,-1.0,1.83,3.25,3.75,0.5464480874316939,0.3076923076923077,0.26666666666666666,H
2002-08-24,West Brom,Leeds,1585.39,1779.45,-194.05999999999995,6.0,9.0,-3.0,10.0,12.0,-2.0,3.75,3.25,1.83,0.26666666666666666,0.3076923076923077,0.5464480874316939,A
2002-08-24,West Ham,Arsenal,1677.84,1881.82,-203.98000000000002,3.0,9.0,-6.0,6.0,15.0,-9.0,4.0,3.5,1.73,0.25,0.2857142857142857,0.5780346820809249,D
2002-08-27,Arsenal,West Brom,1881.82,1585.39,296.42999999999984,7.0,3.0,4.0,13.0,7.0,6.0,1.17,5.5,13.0,0.8547008547008548,0.18181818181818182,0.07692307692307693,H
2002-08-27,Charlton,Tottenham,1647.51,1672.08,-24.569999999999936,4.0,4.0,0.0,5.0,8.0,-3.0,2.4,3.2,2.6,0.4166666666666667,0.3125,0.3846153846153846,A
2002-08-28,Aston Villa,Man City,1684.47,1652.75,31.720000000000027,3.0,6.0,-3.0,7.0,12.0,-5.0,2.2,3.25,2.8,0.45454545454545453,0.3076923076923077,0.35714285714285715,H
2002-08-28,Blackburn,Liverpool,1672.26,1872.29,-200.02999999999997,7.0,9.0,-2.0,10.0,12.0,-2.0,3.0,3.25,2.1,0.3333333333333333,0.3076923076923077,0.47619047619047616,D
2002-08-28,Everton,Birmingham,1632.1,1558.75,73.34999999999991,4.0,3.0,1.0,7.0,7.0,0.0,1.67,3.4,4.5,0.5988023952095809,0.29411764705882354,0.2222222222222222,D
2002-08-28,Leeds,Sunderland,1779.45,1635.3,144.1500000000001,9.0,2.0,7.0,12.0,3.0,9.0,1.5,3.4,6.5,0.6666666666666666,0.29411764705882354,0.15384615384615385,A
2002-08-28,Southampton,Chelsea,1670.28,1774.38,-104.10000000000014,4.0,4.0,0.0,4.0,7.0,-3.0,3.0,3.25,2.1,0.3333333333333333,0.3076923076923077,0.47619047619047616,D
2002-08-31,Birmingham,Leeds,1558.75,1779.45,-220.70000000000005,1.0,6.0,-5.0,5.0,12.0,-7.0,4.0,3.25,1.8,0.25,0.3076923076923077,0.5555555555555556,H
2002-08-31,Man City,Everton,1652.75,1632.1,20.65000000000009,3.0,5.0,-2.0,9.0,5.0,4.0,1.73,3.25,4.33,0.5780346820809249,0.3076923076923077,0.23094688221709006,H
2002-08-31,Middlesbrough,Blackburn,1652.47,1672.26,-19.789999999999964,2.0,5.0,-3.0,2.0,8.0,-6.0,2.2,3.25,2.8,0.45454545454545453,0.3076923076923077,0.35714285714285715,H
2002-08-31,Sunderland,Man United,1635.3,1883.32,-248.01999999999998,4.0,5.0,-1.0,6.0,8.0,-2.0,5.0,3.4,1.62,0.2,0.29411764705882354,0.6172839506172839,D
2002-08-31,Tottenham,Southampton,1672.08,1670.28,1.7999999999999545,7.0,2.0,5.0,10.0,5.0,5.0,1.67,3.4,4.5,0.5988023952095809,0.29411764705882354,0.2222222222222222,H
2002-08-31,West Brom,Fulham,1585.39,1635.78,-50.38999999999987,0.0,4.0,-4.0,6.0,8.0,-2.0,2.63,3.2,2.38,0.3802281368821293,0.3125,0.42016806722689076,H
